score,suitability,format,unknown_class_count,missing_model_count,name,path,features,reason,unknown_classes,missing_models
72,优先测试,ui,8,10,16.好用-Sec-人物迁移_动作迁移_长视频循环.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\16.好用-Sec-人物迁移_动作迁移_长视频循环.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、ltx、vace、animate、talk、audio、lip、pose、长视频、视频生视频,DrawViTPose;Fast Groups Bypasser (rgthree);OnnxDetectionModelLoader;PoseAndFaceDetection;SeCModelLoader;SeCVideoSegmentation;easy int;easy showAnything,vitpose-l-wholebody.onnx;yolov10m.onnx;clip_vision_h.safetensors;lightx2v_elite_it2v_animate_face.safetensors;WAN22_MoCap_fullbodyCOPY_ED.safetensors;Wan2.2-Fun-A14B-InP-Fusion-Elite.safetensors;FullDynamic_Ultimate_Fusion_Elite.safetensors;SeC-4B-fp32.safetensors;Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors;Wan2_2-Animate-14B_fp8_e4m3fn_scaled_KJ.safetensors
71,优先测试,ui,3,2,Lightx2v加速高运动高质量版图生视频.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\LightX2V助力Wan2.1工作流\工作流&模型\Lightx2v加速高运动高质量版图生视频.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、镜头、图生视频、动作,JWInteger;LayerUtility: ImageScaleByAspectRatio V2;Text Multiline,clip_vision_h.safetensors;umt5-xxl-enc-fp8_e4m3fn.safetensors
68,优先测试,ui,3,7,05.WanAnimate动作+表情迁移.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\05.WanAnimate动作+表情迁移.json,image_input;pose_control;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、ltx、vace、animate、talk、audio、lip、pose、视频生视频、动作,GetNode;MarkdownNote;SetNode,sam2_hiera_base_plus.safetensors;clip_vision_h.safetensors;yolox_l.torchscript.pt;dw-ll_ucoco_384_bs5.torchscript.pt;Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors;WanAnimate_relight_lora_fp16.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank64_bf16.safetensors
68,优先测试,ui,3,7,06.WanAnimate 人物A的动作+B的表情混合迁移.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\06.WanAnimate 人物A的动作+B的表情混合迁移.json,image_input;pose_control;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、ltx、vace、animate、talk、audio、lip、pose、视频生视频、动作,GetNode;MarkdownNote;SetNode,yolox_l.torchscript.pt;dw-ll_ucoco_384_bs5.torchscript.pt;clip_vision_h.safetensors;Wan2.2-Animate-14B-Q4_K_S.gguf;WanAnimate_relight_lora_fp16.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank128_bf16.safetensors;sam2_hiera_base_plus.safetensors
68,优先测试,ui,8,2,07.-Wan2.1+AI视频首尾帧丝滑动画过渡工作流.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\07.-Wan2.1+AI视频首尾帧丝滑动画过渡工作流.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、首尾帧、图生视频、动作,CR Simple Image Compare;CR Text;Int;LayerUtility: ImageScaleByAspectRatio V2;LayerUtility: PurgeVRAM;easy cleanGpuUsed;easy imageConcat;easy imageSize,open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors;wan2.1_i2v_480p_14B_bf16.safetensors
66,优先测试,ui,6,8,10.WanAnimate 主体替换(自动)2.0.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\10.WanAnimate 主体替换(自动)2.0.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、视频生视频、动作、表情,DrawViTPose;GetNode;LayerUtility: ImageScaleByAspectRatio V2;OnnxDetectionModelLoader;PoseAndFaceDetection;SetNode,sam2.1_hiera_base_plus.safetensors;vitpose-l-wholebody.onnx;yolov10m.onnx;clip_vision_h.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank64_bf16.safetensors;Wan2.2-Fun-A14B-InP-Fusion-Elite.safetensors;FullDynamic_Ultimate_Fusion_Elite.safetensors;Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors
65,优先测试,ui,0,4,wanvideo_ATI_testing_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_ATI_testing_01.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、ltx、vace、animate、talk、audio、lip、pose、修复,,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors;Wan2_1-Wan-I2V-ATI-14B_fp8_e4m3fn.safetensors;Wan21_CausVid_14B_T2V_lora_rank32_v2.safetensors
65,优先测试,ui,2,8,09.WanAnimate 主体替换(手动)2.0.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\09.WanAnimate 主体替换(手动)2.0.json,image_input;pose_control;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、ltx、vace、animate、talk、audio、lip、pose、视频生视频、主体替换,GetNode;SetNode,sam2_hiera_base_plus.safetensors;Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors;yolox_l.torchscript.pt;dw-ll_ucoco_384_bs5.torchscript.pt;clip_vision_h.safetensors;Wan2.2-Fun-A14B-InP-Fusion-Elite.safetensors;FullDynamic_Ultimate_Fusion_Elite.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank64_bf16.safetensors
65,优先测试,ui,3,3,wanvideo_I2V_FantasyTalking_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_I2V_FantasyTalking_example_01.json,audio_input;audio_or_lipsync;image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、修复,GetNode;MarkdownNote;SetNode,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors;fantasytalking_fp16.safetensors
64,优先测试,ui,3,4,02.wan2.2首尾帧-好用.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\02.wan2.2首尾帧-好用.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、首尾帧、镜头、图生视频,ImageFromBatch+;LayerUtility: ImageScaleByAspectRatio V2;LayerUtility: PurgeVRAM,lightx2v_I2V_14B_480p_cfg_step_distill_rank128_bf16.safetensors;wan2.2_i2v_high_noise_14B_Q4_K_S.gguf;umt5-xxl-encoder-Q4_K_S.gguf;wan2.2_i2v_low_noise_14B_Q4_K_S.gguf
